
=== OPENALEX FORWARD CITATIONS of W2109573698 (>= 2005) ===
year	venue	title	doi
2017	Chaos Solitons & Fractals	Stochastic degradation of the fixed-point version of 2 D -chaotic maps	https://doi.org/10.1016/j.chaos.2017.09.007
2018		A SoPC based Fixed Point System for Spaceborne SAR Real-Time Imaging Processing	https://doi.org/10.1109/hpec.2018.8547564
2012		ALU Architecture with Dynamic Precision Support	https://doi.org/10.1109/saahpc.2012.29
2012	IFIP International Federation for Information Processing/IFIP	Fast Fixed-Point Optimization of DSP Algorithms	https://doi.org/10.1007/978-3-642-28566-0_8
2021		Leveraging Bayesian Optimization to Speed Up Automatic Precision Tuning	https://doi.org/10.23919/date51398.2021.9474209
2018		Analysis of Finite Word-Length Effects in Fixed-Point Systems	https://doi.org/10.1007/978-3-319-91734-4_29
2014	Journal of Circuits Systems and Computers	ICAT: Engine to Perform Range Analysis and Allocate Bit-Widths for Arithmetic Datapaths	https://doi.org/10.1142/s0218126615500206
2021		FPGA acceleration of bit-true simulations for word-length optimization	https://doi.org/10.1109/arith51176.2021.00033
2023		Maximizing Computing Accuracy on Resource-Constrained Architectures	https://doi.org/10.23919/date56975.2023.10136991
2017	Microelectronics Journal	Efficient utilization of imprecise computational blocks for hardware implementation of imprecision tolerant applications	https://doi.org/10.1016/j.mejo.2017.01.002
2016	IEEE Transactions on Circuits & Systems II Express Briefs	Quantization Noise Power Estimation for Floating-Point DSP Circuits	https://doi.org/10.1109/tcsii.2016.2530802
2009	Control Engineering Practice	Fixed-point DSP implementation of nonlinear H∞ controller for large gap electromagnetic suspension system	https://doi.org/10.1016/j.conengprac.2009.04.014
2011		An efficient algorithm of performing range analysis for fixed-point arithmetic circuits based on SAT checking	https://doi.org/10.1109/iscas.2011.5937918
2020		Towards Generic and Scalable Word-Length Optimization	https://doi.org/10.23919/date48585.2020.9116564
2022		Wordlength Optimization of Fixed-Point Algorithms	https://doi.org/10.1007/978-3-030-94705-7_9
2008		Optimizing imprecise fixed-point arithmetic circuits specified by Taylor Series through arithmetic transform	https://doi.org/10.1145/1391469.1391574
2008	IFAC Proceedings Volumes	Fixed-Point DSP Implementation of Nonlinear H∞ Controller for Large Gap Electromagnetic Suspension System	https://doi.org/10.3182/20080706-5-kr-1001.02411
2008		Word length selection method based on mixed simulation for digital PID controllers implemented in FPGA	https://doi.org/10.1109/isie.2008.4677004
2009		Genetic Algorithm-Aided Fixed-Point Design Of E-Utra Prach Detector On Multi-Core Dsp	https://doi.org/10.5281/zenodo.41297
2019		Optimal Word-Length Allocation for the Fixed-Point Implementation of Linear Filters and Controllers	https://doi.org/10.1109/arith.2019.00040
2020		Round-off noise estimation of fixed-point algorithms using Modified Affine Arithmetic and Legendre Polynomials	https://doi.org/10.1109/dcis51330.2020.9268668
2013	Journal of Circuits Systems and Computers	DESIGNING OPTIMIZED IMPRECISE FIXED-POINT ARITHMETIC CIRCUITS SPECIFIED BY POLYNOMIALS WITH VARIOUS CONSTRAINTS	https://doi.org/10.1142/s0218126614500108
2014		An analytical framework for area and switching power optimization of a fixed-point FFT algorithm	https://doi.org/10.1109/techsym.2014.6808060
2014		Floating to Fixed-Point Translation with Its Application to Speech-Based Emotion Recognition	https://doi.org/10.1109/eait.2014.57
2014		Toward scalable source level accuracy analysis for floating-point to fixed-point conversion	https://doi.org/10.1109/iccad.2014.7001432
2010	European Signal Processing Conference	SQNR estimation of non-linear fixed-point algorithms	None
2010	Zenodo (CERN European Organization for Nuclear Research)	Precision-Wise Architectural Synthesis Of Dsp Circuits	https://doi.org/10.5281/zenodo.42207
2017		Dynamic bitwidth assignment for efficient dot products	https://doi.org/10.23919/fpl.2017.8056829
2007	Conference proceedings	Selection of floating-point or fixed-point For Adaptive Noise Canceller In Somatosensory Evoked Potential Measurement	https://doi.org/10.1109/iembs.2007.4353028
2008		Combined Word-Length Allocation and High-Level Synthesis of Digital Signal Processing Circuits	https://doi.org/10.20868/upm.thesis.1822
2013	arXiv (Cornell University)	SWATI: Synthesizing Wordlengths Automatically Using Testing and Induction	https://doi.org/10.48550/arxiv.1302.1920
2016		Automated wordlength optimization framework for multi-source statistical interval-based analysis of nonlinear systems with control-flow structures	https://doi.org/10.20868/upm.thesis.40614
2008		Study on Adaptive Noise Canceller Based on Fixed-Point Algorithm for Real-Time Somatosensory Evoked Potential Monitoring	https://doi.org/10.1109/icbbe.2008.884
2014	Journal of information science and engineering	Probability-Based Static Scaling Optimization for Fixed Wordlength FFT Processors	https://doi.org/10.6688/jise.2014.30.4.4
2014	International Journal of Embedded and Real-Time Communication Systems	Integration of Optimization Approach Based on Multiple Wordlength Operation Grouping in the AAA Methodology for Real-Time Systems	https://doi.org/10.4018/ijertcs.2014010103
2012	Journal of Computers	Using Arithmetic Transform to Calculate Ranges of Arithmetic Datapaths	https://doi.org/10.4304/jcp.7.12.2906-2912
2015	International Journal of Computational Vision and Robotics	Study of finite word-length effect on the performance of watermarking methods	https://doi.org/10.1504/ijcvr.2015.068802
2015	The Sydney eScholarship Repository (The University of Sydney)	Automated Dynamic Error Analysis Methods for Optimization of Computer Arithmetic Systems	None
2014	PolyPublie (École Polytechnique de Montréal)	Accuracy-Guaranteed Fixed-Point Optimization in Hardware Synthesis and Processor Customization	None
2007	International Conference on Circuits	OWL: word-length optimization via extreme value theory and affine arithmetic/interval arithmetic model	None
2016	INTERNATIONAL JOURNAL OF EMERGING TRENDS IN SCIENCE AND TECHNOLOGY	Energy Aware 32 Bit Arithmetic and Logical Unit for Error Tolerant Applications	https://doi.org/10.18535/ijetst/v3i01.10
# 75 kept of 145 citing works (dropped: 4 pre-2005, 1 noise, 65 no-keyword)
