=== DBLP VENUE SWEEP ===
venue	year	title	authors	doi
FPGA	2025	FlightVGM: Efficient Video Generation Model Inference with Online Sparsification and Hybrid Precision on FPGAs.	Jun Liu 0117, Shulin Zeng, Li Ding 0012, Widyadewi Soedarmadji	10.1145/3706628.3708864
FPGA	2025	SAT-Accel: A Modern SAT Solver on a FPGA.	Michael Lo, Mau-Chung Frank Chang, Jason Cong	10.1145/3706628.3708869
FPGA	2025	RRNS Arith Lib - An Open-Source Redundant Residue Number System Arithmetic VHDL Library.	Tim Oberschulte, Enno Sievers, Holger Blume	10.1145/3706628.3708847
FPGA	2025	HEDWIG: Homomorphic Encryption Accelerator Design Using BFV-HPS With HiGh-Speed Fixed-Point Approximation.	Antian Wang, Weihang Tan, Zhenyu Xu 0007, Tao Wei 0001	10.1145/3706628.3708853
TCAD	2026	Partial Recomputation Fault Detection Architecture for Multiple-Precision Montgomery Modular Multiplication.	Saeed Aghapour, Kasra Ahmadi, Mehran Mozaffari Kermani, Reza Azarderakhsh	10.1109/TCAD.2025.3592590
TCAD	2026	AnaCraft: Duel-Play Probabilistic-Model-Based Reinforcement Learning for Sample-Efficient PVT-Robust Analog Circuit Sizing Optimization.	Mohsen Ahmadzadeh, Jan Lappas, Norbert Wehn, Georges G. E. Gielen	10.1109/TCAD.2025.3582175
TCAD	2026	RelOps: Reliability Optimization in Standard Cells Across PVT Variations in FinFET Digital Circuits.	Mohammad Rehan Akhtar, Ritwik Basyas Goswami, Zia Abbas	10.1109/TCAD.2025.3593207
TCAD	2026	Vendor-Independent Design Space Exploration and Resource Optimization Framework for 3-D Networks-on-Chip Using Hypergraph-Genetic Algorithm Integration.	Ahmed Al-Alousi, Maozhen Li 0001, Hongying Meng	10.1109/TCAD.2025.3616073
TCAD	2026	Physical-Aware Multicorner Timing Prediction for Pre-Placement Optimization Using BiLSTM and GNN Networks.	Peng Cao 0002, Xu Cheng, Pengcheng Fan, Jiaqi Lyu	10.1109/TCAD.2025.3646591
TCAD	2026	High-Dimensional Yield Optimization for Analog Circuits via Monte Carlo Tree Search and Self-Regressive Auto-Encoder Promoted Subspace Decomposed Gaussian Process.	Zhaoting Chen, Jianping Guo 0002, Zhaori Bi, Changhao Yan	10.1109/TCAD.2025.3573229
TCAD	2026	Data Transfer Optimization for Loop Mapping on CGRAs via Polyhedral Transformation.	Zhaorui Chen, Liao Huang, Xiao Xiong, Dajiang Liu	10.1109/TCAD.2025.3630548
TCAD	2026	CirOPT: Toward Effective Combinational Equivalence Checking via Compiler Optimization.	Shaoke Cui, Chuan Luo 0002, Zhenwei Yang, Jiabao Lin	10.1109/TCAD.2025.3608060
TCAD	2026	Division-Free Four-Way Toom-Cook Polynomial Multiplication Architecture for Large Integer Arithmetic on FPGAs and ASICs.	Monalisa Das, Babita Jajodia	10.1109/TCAD.2025.3608645
TCAD	2026	Multiscenario Coupled Model of GaN-on-Si HEMTs Epitaxial Design and Performance Improvement Based on Multiobjective Optimization Method.	Borui Deng, Yulong Fang, He Guan, Ziqiang Zeng	10.1109/TCAD.2025.3624685
TCAD	2026	CATCH: A Cost Analysis Tool for Co-Optimization of Chiplet-Based Heterogeneous Systems.	Alexander Graening, Jonti Talukdar, Saptadeep Pal, Krishnendu Chakrabarty	10.1109/TCAD.2025.3597570
TCAD	2026	Configurable Dataflow and Adaptive Mapping Optimization for Hybrid ReRAM and SRAM Compute-in-Memory Accelerator.	Jingyu He, Xiaomeng Wang, Kunming Shao, Kwang-Ting Cheng	10.1109/TCAD.2025.3596765
TCAD	2026	Optimization Heuristics for Grid-Based Integer Linear Programming Package Substrate Router.	Chen-Yu Hsieh, Yu-En Lin, Yi-Yu Liu	10.1109/TCAD.2025.3578328
TCAD	2026	When High Reliability Meets Low Cost: Exploring Approximate-TMR via Efficient Multiobjective Optimization Frameworks.	Yueming Hu, Yan Li 0084, Xiaoyang Zeng	10.1109/TCAD.2025.3580656
TCAD	2026	KD-Finder: A Karatsuba Decomposition Optimization Finder for NTT-Friendly Montgomery Modular Multiplication.	Yicheng Huang, Xueyan Wang, Shicheng Ma, Song Bian 0001	10.1109/TCAD.2025.3634196
TCAD	2026	Path-Driven Washing and Drying Co-Optimization in Continuous-Flow Lab-on-Chips.	Xing Huang 0001, Jiaxuan Wang, Zhiwen Yu 0001, Bin Guo 0001	10.1109/TCAD.2025.3581133
# 44 venue hits in 2024-2027

=== OPENALEX FORWARD CITATIONS of W2109573698 (>= 2024) ===
year	venue	title	doi
# 0 kept of 145 citing works
